GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pruebasConJUnit,jjslnb.pruebasconjunit,Coche,50,0,6,0,10,0,5,0,2,0
pruebasConJUnit,jjslnb.pruebasconjunit,NewMain,18,0,0,0,5,0,2,0,2,0
