GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
proyecto_acronimos,proyecto_acronimos,Main,49,0,0,0,10,0,2,0,2,0
proyecto_acronimos,proyecto_acronimos,Acronimos,0,42,0,8,0,11,0,6,0,2
